config_name,question,gold_answer,generated_answer,top_context,faithfulness_label,error_type
BM25 + Grounded,What does co-teaching get the students to focus on?,learning,Not enough information.,Co-teaching has also become a new trend amongst educational institutions. Co-teaching is defined as two or more teachers working harmoniously to fulfill the needs of every student in the classroom. Co-teaching focuses the student on learning by providing a social networking support that allows them to reach their full cognitive potential. Co-teachers work in sync with one another to create a climate of learning.,0.5,over_refusal
BM25 + Grounded,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Not enough information.,"Paramount Television prior to 1986 (as Miller-Milkis, and later, Miller-Milkis-Boyett Productions), had earlier produced Happy Days and its various spinoffs among other series for the network.",0.5,retrieval_failure
BM25 + Grounded,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,Not enough information.,Antiquaries that 47% of the then population of Newcastle died from the epidemic; this may also have been the most devastating loss in any British City in this period.,0.5,over_refusal
BM25 + Grounded,What service is a VideoGuard UK equipped receiver dedicated to decrypt?,Sky,Not enough information.,"Provided is a universal Ku band LNB (9.75/10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digital receivers will receive the free to air channels. Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services. To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used. Unofficial CAMs are now available to view the service, although use of them breaks the user's contract with Sky and invalidates the",0.5,over_refusal
BM25 + Rerank + Grounded,What does co-teaching get the students to focus on?,learning,Co-teaching,Co-teaching has also become a new trend amongst educational institutions. Co-teaching is defined as two or more teachers working harmoniously to fulfill the needs of every student in the classroom. Co-teaching focuses the student on learning by providing a social networking support that allows them to reach their full cognitive potential. Co-teachers work in sync with one another to create a climate of learning.,0.5,partially_supported
BM25 + Rerank + Grounded,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Yuan dynasty,"Bolshevik leaders had effectively reestablished a polity with roughly the same extent as that empire by 1921, however with an internationalist ideology: Lenin in particular asserted the right to limited self-determination for national minorities within the new territory. Beginning in 1923, the policy of ""Indigenization"" [korenizatsiia] was intended to support non-Russians develop their national cultures within a socialist framework. Never formally revoked, it stopped being implemented after 1932. After World War II, the Soviet Union installed socialist regimes modeled on those it had installed in 1919–20 in the old Tsarist Empire in areas its forces occupied in Eastern Europe. The Soviet Union and the People’s Republic of China supported post–World War II communist movements in foreign nations and colonies to",0.0,wrong_answer
BM25 + Rerank + Grounded,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,Not enough information.,Antiquaries that 47% of the then population of Newcastle died from the epidemic; this may also have been the most devastating loss in any British City in this period.,0.5,over_refusal
BM25 + Rerank + Grounded,What service is a VideoGuard UK equipped receiver dedicated to decrypt?,Sky,"BSkyB's analogue service on 27 September 2001, due to the launch and expansion of the Sky Digital platform.","Provided is a universal Ku band LNB (9.75/10.600 GHz) which is fitted at the end of the dish and pointed at the correct satellite constellation; most digital receivers will receive the free to air channels. Some broadcasts are free-to-air and unencrypted, some are encrypted but do not require a monthly subscription (known as free-to-view), some are encrypted and require a monthly subscription, and some are pay-per-view services. To view the encrypted content a VideoGuard UK equipped receiver (all of which are dedicated to the Sky service, and cannot be used to decrypt other services) needs to be used. Unofficial CAMs are now available to view the service, although use of them breaks the user's contract with Sky and invalidates the",0.0,wrong_answer
BM25 + Standard,What does co-teaching get the students to focus on?,learning,The Clouded Yellow,Co-teaching has also become a new trend amongst educational institutions. Co-teaching is defined as two or more teachers working harmoniously to fulfill the needs of every student in the classroom. Co-teaching focuses the student on learning by providing a social networking support that allows them to reach their full cognitive potential. Co-teachers work in sync with one another to create a climate of learning.,0.0,wrong_answer
BM25 + Standard,Who had established the Russian empire to its former glory prior to 1921?,Bolshevik leaders,Subutai had a large wooden platform constructed on which he ate his meals along with his other generals.,"Paramount Television prior to 1986 (as Miller-Milkis, and later, Miller-Milkis-Boyett Productions), had earlier produced Happy Days and its various spinoffs among other series for the network.",0.0,wrong_answer
BM25 + Standard,The epidemic in Newcastle was the most what in any British city at the time?,devastating loss,NE1fm,Antiquaries that 47% of the then population of Newcastle died from the epidemic; this may also have been the most devastating loss in any British City in this period.,0.0,wrong_answer
